analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,diameter_basis_composition,frozen_raw_fia_code_contributors,observed_f0_raw_fia_code_contributors,native_state_count,native_state_codes,d1_taxonomy_reconstruction,d2_target_native_f0_linkage,d3_legitimate_opportunity_A,d3_legitimate_opportunity_B,d4_positive_encounter_A,d4_positive_encounter_B,n_legitimate_opportunity_A,n_legitimate_opportunity_B,n_encounter_plot_A,n_encounter_plot_B,n_qualifying_tree_A,n_qualifying_tree_B,invalid_native_candidate_link_tree_count,provisional_d08c2_status,bidirectional_constructible,final_cohort_flag,grid_used,abundance_or_occupancy_result_used
174176,Quercus oglethorpensis,W.H.Duncan,Fagaceae,DBH_ONLY,844,,5,1;13;22;28;45,PASS,PASS,PASS,PASS,FAIL,FAIL,7202,10923,0,0,0,0,0,FAIL_D4_NO_POSITIVE_ENCOUNTER_A,0,0,NO,NO
174226,Quercus pagoda,Raf.,Fagaceae,DBH_ONLY,813,813,17,1;5;12;13;17;18;21;22;24;28;29;37;40;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,20971,31840,806,1135,1642,2236,146,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
174411,Quercus phellos,L.,Fagaceae,DBH_ONLY,831,831,20,1;5;10;12;13;17;21;22;24;28;29;34;36;37;40;42;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,23231,35181,765,1165,1914,3160,161,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
175172,Quercus similis,Ashe,Fagaceae,DBH_ONLY,836,836,9,1;5;12;13;22;28;45;47;48,PASS,PASS,PASS,PASS,PASS,PASS,14305,21717,3,8,5,15,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
175243,Quercus stellata,Wangenh.,Fagaceae,DBH_ONLY,835,835,28,1;5;9;10;12;13;17;18;19;20;21;22;24;25;28;29;34;36;37;39;40;42;44;45;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,25790,39101,2697,4122,12055,17675,612,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
175464,Quercus texana,Buckley,Fagaceae,DBH_ONLY,828,828,9,1;5;17;21;22;28;29;47;48,PASS,PASS,PASS,PASS,PASS,PASS,12644,19165,155,255,719,1089,19,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
175726,Quercus virginiana,Mill.,Fagaceae,DBH_ONLY,838,838,9,1;12;13;22;28;37;45;48;51,PASS,PASS,PASS,PASS,PASS,PASS,14479,22027,734,1171,3792,6336,248,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2428246,Robinia pseudoacacia,L.,Fabaceae,DBH_ONLY,901,901,10,1;13;21;24;37;42;45;47;51;54,PASS,PASS,PASS,PASS,PASS,PASS,11508,17397,520,779,1153,1604,149,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
378988,Sequoia sempervirens,(D.Don) Endl.,Cupressaceae,DBH_ONLY,211,211,2,6;41,PASS,PASS,PASS,PASS,PASS,PASS,6240,9424,122,171,2581,3828,125,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
381300,Sequoiadendron giganteum,(Lindl.) J.Buchholz,Cupressaceae,DBH_ONLY,212,212,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,3,3,20,15,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2598500,Styphnolobium affine,(Torr. & A.Gray) Walp.,Fabaceae,DBH_ONLY,870,870,4,5;22;40;48,PASS,PASS,PASS,PASS,PASS,PASS,6593,10043,3,4,3,4,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
378636,Torreya californica,Torr.,Taxaceae,DBH_ONLY,251,251,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,7,12,19,19,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
379383,Tsuga caroliniana,Engelm.,Pinaceae,DBH_ONLY,262,262,5,13;37;45;47;51,PASS,PASS,PASS,PASS,PASS,PASS,6768,10305,2,6,5,10,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2450008,Ulmus alata,Michx.,Ulmaceae,DBH_ONLY,971,971,18,1;5;12;13;17;18;20;21;22;28;29;37;39;40;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,21577,32799,2320,3467,4910,7571,404,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2458798,Vaccinium arboreum,Marshall,Ericaceae,DBH_ONLY,8860,8860,17,1;5;12;13;17;18;20;21;22;28;29;37;40;45;47;48;51,PASS,PASS,PASS,PASS,FAIL,PASS,21019,31951,0,2,0,2,0,ONE_DIRECTION_ONLY_DIAGNOSTIC,0,0,NO,NO
