cell_50km,A_legal_opportunities,B_legal_opportunities,A_effort_sum,B_effort_sum,A_fold_ti_weight_sum,B_fold_ti_weight_sum,A_measurable,B_measurable,D2_AB_included,D2_BA_included,D3_common_included,zero_opportunity_class
50km_13_39,0,2,0.0,1.2780420000000001,0.0,26091.3577102825,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_13_45,1,0,0.4301835,0.0,8696.776315789473,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_14_49,0,1,0.0,0.08260325,0.0,5003.732601210288,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_15_50,0,2,0.0,2.0,0.0,24662.910949600664,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_16_39,3,0,1.5274969999999999,0.0,67823.15939210696,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_19_51,1,0,1.0,0.0,20030.318395420127,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_21_15,0,1,0.0,1.0,0.0,10129.722909428869,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_21_38,0,4,0.0,3.125,0.0,64073.049268134826,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_21_48,1,0,0.2769755,0.0,14541.94965862448,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_25_14,0,3,0.0,1.5642987499999998,0.0,30935.902901010046,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_28_21,0,3,0.0,1.1875,0.0,31206.526247114023,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_29_6,0,1,0.0,0.0625,0.0,9794.339670508534,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_30_6,0,1,0.0,0.78399,0.0,9794.339670508534,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_30_10,0,1,0.0,1.0,0.0,9794.339670508534,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_31_8,0,4,0.0,3.0625,0.0,38007.221200552085,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_31_25,2,0,0.625,0.0,30889.87347908154,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_34_53,0,1,0.0,1.0,0.0,11834.069605648998,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_36_30,0,1,0.0,0.25,0.0,9299.331864913433,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_36_31,0,1,0.0,1.0,0.0,10363.095685624556,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_36_32,0,1,0.0,0.877396,0.0,10433.952228635992,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_39_44,0,6,0.0,4.949221,0.0,71453.07680308919,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_41_48,1,0,1.0,0.0,16095.22285579562,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_42_48,0,2,0.0,2.0,0.0,16097.596919872722,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_42_60,0,1,0.0,0.2953065,0.0,10136.121532447649,NO,YES,YES,NO,NO,A_ONLY_ZERO
